manufacturer;model_name;detail_name;hsn;tsn;displacement;power;year_from;year_to;engine_type;target_bucket
VW;Beetle;16 (BEETLE 1.6 TDI);0603;BFL;1598;77;2011;2018;Diesel;2
VW;Caddy;2K (CADDY 2.0 TDI 4MOTION);0603;AZD;1968;81;2010;2019;Diesel;2
VW;Caddy;2K (CADDY 2.0 TDI 4MOTION);0603;AZC;1968;81;2010;2019;Diesel;2
VW;Caddy;2K (CADDY 2.0 TDI);0603;AVH;1968;81;2010;2019;Diesel;2
VW;Caddy;2K (CADDY 2.0 TDI);0603;AVG;1968;81;2010;2019;Diesel;2
VW;Caddy;2K (CADDY 1.6 TDI);0603;AVF;1598;75;2010;2019;Diesel;2
VW;Caddy;2K (CADDY 1.6 TDI);0603;AVE;1598;75;2010;2019;Diesel;2
VW;Caddy;2K (CADDY 1.6 TDI);0603;AVD;1598;55;2010;2019;Diesel;2
VW;Caddy;2K (CADDY 1.6 TDI);0603;AVC;1598;55;2010;2019;Diesel;2
VW;Caddy;2K (CADDY 2.0 TDI);0603;BIK;1968;125;2012;2019;Diesel;2
VW;Caddy;2K (CADDY 2.0 TDI);0603;BIJ;1968;125;2012;2019;Diesel;2
VW;Caddy;2K (CADDY 2.0 TDI 4MOTION);0603;BAX;1968;103;2011;2019;Diesel;2
VW;Caddy;2K (CADDY 2.0 TDI 4MOTION);0603;BAW;1968;103;2011;2019;Diesel;2
VW;Caddy;2K (CADDY LIFE/KOMBI 2.0 TDI);0603;AMU;1968;103;2007;2019;Diesel;2
VW;Caddy;2K (CADDY LIFE/KOMBI 2.0 TDI);0603;AMT;1968;103;2007;2019;Diesel;2
VW;Golf VI;1K (GOLF VI 1.6 TDI);0603;AOR;1598;66;2008;2013;Diesel;2
VW;Golf VI;1KM (GOLF VI VARIANT 1.6 TDI);0603;ASE;1598;66;2010;2014;Diesel;2
VW;Golf VI Plus;1KP (GOLF VI PLUS 1.6 TDI);0603;AOS;1598;66;2008;2014;Diesel;2
VW;Golf VI;1K (GOLF VI 1.6 TDI);0603;APS;1598;77;2009;2013;Diesel;2
VW;Golf VI;1KM (GOLF VI VARIANT 1.6 TDI 4MOTION);0603;ASF;1598;77;2010;2014;Diesel;2
VW;Golf VI;1K (GOLF VI CABRIO 1.6 TDI);0603;BEM;1598;77;2011;2016;Diesel;2
VW;Golf VI Plus;1KP (GOLF VI PLUS 1.6 TDI);0603;AOT;1598;77;2008;2014;Diesel;2
VW;Golf VI;1K (GOLF VI 2.0 TDI);0603;ANZ;1968;81;2008;2013;Diesel;2
